omc,code,name,area,latitude,longitude
BPCL,127514,BP - Bilaspur,Bilaspur,28.29347,76.86581
BPCL,117320,BP ARJUNDA,Bargarh,21.31476,83.30905
BPCL,122283,BP - Uluberia,Howrah,22.47715,88.09083
BPCL,198949,BP - Pipavav,AMRELI,21.01384,71.55555
BPCL,101868,BP - Kannevalasa,Kannevalasa,18.53451,84.16638
BPCL,118561,BP Purnia,Purnia,25.73051,87.45836
BPCL,168159,BP - Gunawad,Gunawad,22.6547,75.4522
BPCL,203572,BP Wadoda,Nagpur,21.13845,79.34461
BPCL,225090,Shabad Fuels,Hisar,29.41956,75.92358
BPCL,155934,BP - Manavpad,Gadwal,15.96424,77.99686
BPCL,156006,BP Zaheerabad,Sangareddy,17.6805,77.62064
BPCL,182049,BP DHAMNOD,Dhamnod,22.28022,75.49258
BPCL,180178,BP - Mawal II,"NH-27, ABU RAOD",24.43125,72.7155
BPCL,118011,BP Tuticorin,Tuticorin,8.89533,78.10554
BPCL,155681,BP - Dalkhola,Madhusikkar,25.87776,87.82333
BPCL,155682,BP-GHOSHPUKUR,Uttar Dinajpur,26.4507,88.25265
BPCL,150813,BP ORMANJHI,Ormanjhi,23.49064,85.4805
BPCL,135860,BP - Pannanchery,Pattikkad,10.55926,76.34348
BPCL,160710,Vangalamman Enterprises,Tirrupur,10.98989,77.58574
BPCL,120566,BP-DOBHI,Gaya,24.53501,84.90439
BPCL,125748,BP-GHAR VEDAL,Vedal,12.87332,79.74738
BPCL,159714,BP Hosur,Chinnar,12.73429,77.83032
BPCL,119235,BP - ONGOLE,Ongole,15.4228,80.03952
BPCL,153282,BP - CHANDAULI,CHANDAULI,25.2472,83.3551
BPCL,158962,BP Vadipatti,Madurai,10.1007,77.948
BPCL,176767,BP - Karalmal,BARGARH,21.31232,83.31308
BPCL,166760,BP Malwan-2,Fatehpur,26.00354,80.73616
BPCL,243310,Siddhivinayak Highwaymart,Palwal,27.9695,77.34493
BPCL,161736,BP - Jamsar,Bikaner,28.25541,73.4121
BPCL,203302,BP - Mundra,KUTCH,23.01621,69.86898
BPCL,234509,BP MANDANA,Mandana,24.9372,75.94957
BPCL,139354,BP - Moregram,Dist- Murshidabad,24.35961,88.03413
BPCL,162770,BP-ADILABAD II,Adilabad,19.76787,78.56333
BPCL,211160,BP-GANGAIKONDAN,Gangaikondan,8.82155,77.7503
BPCL,117321,BP GOVINDPUR,Bargarh,21.32253,83.53649
BPCL,215755,BP Masana  ,Kurukshetra ,30.06225,76.87981
BPCL,117137,Pushpak Auto,BHIWANI,28.77027,75.51832
BPCL,124017,BP-MALWAN,Malwan,25.99971,80.7375
BPCL,184898,BP- KANTI,"VILLAGE KANTI, TEHSIL BARA",25.24557,81.79113
BPCL,157934,BP - Sargoth,Sargoth,27.32651,75.61031
BPCL,161739,BP - Chikkabellapur,GUVALAKANAHALLI,13.5065,77.75839
BPCL,159246,BP - Soniyana,"NH79,CHITTORGARH - BHILWARA ROAD,",25.12077,74.63315
BPCL,115567,BP - Bichiwara,UDAIPUR AHMEDABAD ROAD,23.78283,73.51776
BPCL,158743,BP - Gadota 2,Gadota,26.7819,75.39687
BPCL,136543,BP - Anandapuram,ANANDAPURAM,17.90477,83.4068
BPCL,155252,BP - Yelamanchili,Yerravaram,17.54338,82.83423
