id,product,city,latitude,longitude,price
205,Petrol,MADANAPALLE,13.518,78.545,99.51
206,Diesel,MADANAPALLE,13.518,78.545,88.03
207,Petrol,MADANAPALLI,13.542,78.423,99.45
208,Diesel,MADANAPALLI,13.542,78.423,87.98
209,Petrol,REDDIVARI PALLI,13.974,79.356,99.45
210,Diesel,REDDIVARI PALLI,13.974,79.356,87.92
211,Petrol,PALMNERU,13.201,78.751,99.81
212,Diesel,PALMNERU,13.201,78.751,88.32
213,Petrol,SHANTHIPURAM,12.875,78.403,98.3
214,Diesel,SHANTHIPURAM,12.875,78.403,86.94
215,Petrol,SINGIRIGUNTA,13.343,78.568,98.23
216,Diesel,SINGIRIGUNTA,13.343,78.568,83.37
217,Petrol,SODAM,13.547,78.91,100.23
218,Diesel,SODAM,13.547,78.91,85.2
219,Petrol,SOMALA,13.479,78.813,99.96
220,Diesel,SOMALA,13.479,78.813,84.99
221,Petrol,T.SADUM,13.677,78.088,99.96
222,Diesel,T.SADUM,13.677,78.088,84.99
223,Petrol,THAVANAMPALLE,13.264,79.016,99.96
224,Diesel,THAVANAMPALLE,13.264,79.016,84.99
225,Petrol,THENEPALLE,13.373,79.092,99.96
226,Diesel,THENEPALLE,13.373,79.092,84.99
227,Petrol,TIRUPATI,13.622,79.419,99.96
228,Diesel,TIRUPATI,13.622,79.419,84.99
229,Petrol,TUNGUNDRAM,13.194,79.263,99.96
230,Diesel,TUNGUNDRAM,13.194,79.263,84.99
231,Petrol,V.KOTA,12.995,78.474,99.97
232,Diesel,V.KOTA,12.995,78.474,85
233,Petrol,V.KOTA CHITTOOR,12.999,78.49,100.28
234,Diesel,V.KOTA CHITTOOR,12.999,78.49,85.25
235,Petrol,PULICHERLA,13.578,79.094,100.33
236,Diesel,PULICHERLA,13.578,79.094,85.3
237,Petrol,PULLURU CROSS,13.308,79.354,99.97
238,Diesel,PULLURU CROSS,13.308,79.354,85
239,Petrol,PUNGANUR,13.369,78.571,99.97
240,Diesel,PUNGANUR,13.369,78.571,84.97
241,Petrol,YADAMARI,13.162,79.04,99.97
242,Diesel,YADAMARI,13.162,79.04,84.97
243,Petrol,PEDDADALAVAIPAL,13.096,79.127,101.57
244,Diesel,PEDDADALAVAIPAL,13.096,79.127,87.86
245,Petrol,CHITTOOR,13.222,79.125,102.89
246,Diesel,CHITTOOR,13.222,79.125,89.11
247,Petrol,CHOWDEPALLI,13.435,78.698,102.9
248,Diesel,CHOWDEPALLI,13.435,78.698,89.12
249,Petrol,BANGARUPALEM,13.196,78.915,102.9
250,Diesel,BANGARUPALEM,13.196,78.915,89.12
251,Petrol,PEDDAUPPARAPALL,13.391,78.82,102.5
252,Diesel,PEDDAUPPARAPALL,13.391,78.82,88.76
253,Petrol,GANGADHARA NELL,13.238,79.185,102.92
254,Diesel,GANGADHARA NELL,13.238,79.185,89.15
255,Petrol,PALAMANER,13.205,78.767,101.84
256,Diesel,PALAMANER,13.205,78.767,88.18
257,Petrol,BANGARUPALYAM,13.205,78.942,102.93
258,Diesel,BANGARUPALYAM,13.205,78.942,89.15
259,Petrol,RAJUPALLI,13.301,78.583,102.94
260,Diesel,RAJUPALLI,13.301,78.583,89.15
261,Petrol,MURUKAMPATTU CHITTOOR,13.25,79.119,101.84
262,Diesel,MURUKAMPATTU CHITTOOR,13.25,79.119,88.18
263,Petrol,K.KOTHAPETA,13.549,79.089,102.94
264,Diesel,K.KOTHAPETA,13.549,79.089,89.15
265,Petrol,PENUMUR,13.368,79.193,102.94
266,Diesel,PENUMUR,13.368,79.193,89.16
267,Petrol,KAMMATHIMMAPALL,13.093,79.183,103.99
268,Diesel,KAMMATHIMMAPALL,13.093,79.183,89.86
269,Petrol,KANIPAKKAM,13.281,79.04,103.99
270,Diesel,KANIPAKKAM,13.281,79.04,89.86
271,Petrol,KARVETINAGAR,13.413,79.444,103.99
272,Diesel,KARVETINAGAR,13.413,79.444,89.86
273,Petrol,KARVETINAGARAM,13.285,79.245,103.99
274,Diesel,KARVETINAGARAM,13.285,79.245,89.71
275,Petrol,KUPPAM,12.774,78.355,104
276,Diesel,KUPPAM,12.774,78.355,89.65
277,Petrol,BANDAKRINDA PAL,13.654,78.995,104.01
278,Diesel,BANDAKRINDA PAL,13.654,78.995,89.86
279,Petrol,ARAGONDA,13.284,78.954,104.02
280,Diesel,ARAGONDA,13.284,78.954,89.88
281,Petrol,MADANPALLE,13.392,78.575,103.34
282,Diesel,MADANPALLE,13.392,78.575,89.28
283,Petrol,POLAKALA,13.429,79.021,102.89
284,Diesel,POLAKALA,13.429,79.021,88.87
285,Petrol,P.KOTHAKOTA,13.396,79.098,102.89
286,Diesel,P.KOTHAKOTA,13.396,79.098,88.87
287,Petrol,PACHIKAPALAM,13.445,79.355,103.3
288,Diesel,PACHIKAPALAM,13.445,79.355,89.2
289,Petrol,REDDIGUNTA,13.178,79.098,103.1
290,Diesel,REDDIGUNTA,13.178,79.098,89.02
291,Petrol,POTLADURTHI,14.699,78.547,104.02
292,Diesel,POTLADURTHI,14.699,78.547,89.85
293,Petrol,MYDUKUR,14.741,78.723,99.87
294,Diesel,MYDUKUR,14.741,78.723,85.5
295,Petrol,SIMHADRIPURAM,14.631,78.127,99.87
296,Diesel,SIMHADRIPURAM,14.631,78.127,85.5
297,Petrol,PANDILLAPALLI,14.605,78.598,99.87
298,Diesel,PANDILLAPALLI,14.605,78.598,85.66
299,Petrol,SREENIVASAPURAM,14.74,79.102,99.87
300,Diesel,SREENIVASAPURAM,14.74,79.102,85.69
301,Petrol,BAKARAPET,14.418,78.941,99.87
302,Diesel,BAKARAPET,14.418,78.941,85.66
303,Petrol,Proddattur,14.762,78.528,99.87
304,Diesel,Proddattur,14.762,78.528,85.69
305,Petrol,PRODDUTUR,14.744,78.547,99.87
306,Diesel,PRODDUTUR,14.744,78.547,85.69
307,Petrol,THONDUR VILLAGE,14.568,78.279,99.87
308,Diesel,THONDUR VILLAGE,14.568,78.279,85.66
309,Petrol,PARNAPALLI,14.567,77.975,99.88
310,Diesel,PARNAPALLI,14.567,77.975,85.69
311,Petrol,PRODUTURU RURAL,14.763,78.565,99.58
312,Diesel,PRODUTURU RURAL,14.763,78.565,88.09
313,Petrol,PULIVENDLA,14.412,78.226,99.58
314,Diesel,PULIVENDLA,14.412,78.226,87.94
315,Petrol,MUDDANUR,14.681,78.393,99.58
316,Diesel,MUDDANUR,14.681,78.393,87.94
317,Petrol,VEERAPUNAYANAPA,14.463,78.471,99.58
318,Diesel,VEERAPUNAYANAPA,14.463,78.471,87.88
319,Petrol,VELLALA,14.93,78.532,98.65
320,Diesel,VELLALA,14.93,78.532,87.23
321,Petrol,PULIVENDULA,14.434,78.231,98.54
322,Diesel,PULIVENDULA,14.434,78.231,87.13
323,Petrol,PAYALKUNTA,14.886,79.015,99.6
324,Diesel,PAYALKUNTA,14.886,79.015,87.9
325,Petrol,VEMPALLI,14.375,78.458,99.6
326,Diesel,VEMPALLI,14.375,78.458,87.9
327,Petrol,PULLURU,14.657,78.777,99.6
328,Diesel,PULLURU,14.657,78.777,87.9
329,Petrol,VEMULA,14.37,78.332,99.6
330,Diesel,VEMULA,14.37,78.332,88.03
331,Petrol,YERRAGUNTLA,14.631,78.547,99.6
332,Diesel,YERRAGUNTLA,14.631,78.547,88.11
333,Petrol,YSR KADAPA DIST,14.813,78.879,99.6
334,Diesel,YSR KADAPA DIST,14.813,78.879,88.06
335,Petrol,CHENNUR,14.567,78.792,99.35
336,Diesel,CHENNUR,14.567,78.792,87.88
337,Petrol,CHILAMKUR,14.658,78.454,99.25
338,Diesel,CHILAMKUR,14.658,78.454,87.79
339,Petrol,ATLUR,14.568,79.035,99.61
340,Diesel,ATLUR,14.568,79.035,87.77
341,Petrol,CHITVEL,14.184,79.309,100.11
342,Diesel,CHITVEL,14.184,79.309,84.91
343,Petrol,CUDDAPAH,14.488,78.813,100.11
344,Diesel,CUDDAPAH,14.488,78.813,84.77
345,Petrol,DEVAGUDI,14.786,78.463,100.12
346,Diesel,DEVAGUDI,14.786,78.463,84.93
347,Petrol,ALAMKHANPALLY,14.52,78.776,100.12
348,Diesel,ALAMKHANPALLY,14.52,78.776,85.13
349,Petrol,G.V.SATRAM X,14.717,78.808,100.12
350,Diesel,G.V.SATRAM X,14.717,78.808,85.13
351,Petrol,RAJAMPET,14.193,79.163,100.12
352,Diesel,RAJAMPET,14.193,79.163,85.13
353,Petrol,GUDIPADU VILLAG,14.812,78.68,100.12
354,Diesel,GUDIPADU VILLAG,14.812,78.68,85.13
355,Petrol,GUDURU,14.494,78.801,100.12
356,Diesel,GUDURU,14.494,78.801,85.13
357,Petrol,RAJPALEM,14.877,78.573,100.13
358,Diesel,RAJPALEM,14.877,78.573,85
359,Petrol,JAMALAMADUGU,14.849,78.386,100.13
360,Diesel,JAMALAMADUGU,14.849,78.386,85
361,Petrol,JAMMALAMADUGU,14.844,78.382,100.13
362,Diesel,JAMMALAMADUGU,14.844,78.382,85.16
363,Petrol,JANGALAPALLE,15.004,78.508,100.13
364,Diesel,JANGALAPALLE,15.004,78.508,85.16
365,Petrol,K.SUGUMANCHIPA,14.841,78.112,100.13
366,Diesel,K.SUGUMANCHIPA,14.841,78.112,85.16
367,Petrol,KADAPA,14.504,78.792,100.13
368,Diesel,KADAPA,14.504,78.792,85.16
369,Petrol,PORUMAMILLA,14.998,78.99,103.04
370,Diesel,PORUMAMILLA,14.998,78.99,89.25
371,Petrol,KADAPA KADAPA DIST,14.481,78.774,103.04
372,Diesel,KADAPA KADAPA DIST,14.481,78.774,89.27
373,Petrol,KALASAPADU,15.104,78.938,102.67
374,Diesel,KALASAPADU,15.104,78.938,88.92
375,Petrol,KAMALAPURAM,14.582,78.658,103.73
376,Diesel,KAMALAPURAM,14.582,78.658,89.87
377,Petrol,KHAJIPET,14.634,78.779,103.05
378,Diesel,KHAJIPET,14.634,78.779,89.25
379,Petrol,KONDAPURAM,14.761,78.208,103.05
