name,latitude,longitude,phone,address,location
Hero Electric Charging Station,23.2300051,87.8799841,,"6VJH+2X5, Grand Trunk Rd, Police Line, Bardhaman",0101000020E610000000A0D4A851F85540C8693E9DE13A3740
Hero Electric Charging Station,23.0101202,87.8300489,,"2R6J+223, Kaiti Bazar Barddhaman, Kaiti",0101000020E61000002BE56B851FF555406B07C83C97023740
Electric Vehicle Charging Station,22.5735101,88.2631299,,"H7F7+674, Duillya, Howrah",0101000020E610000062C6CA1ED7105640FA6CD38ED1923640
NKDA Charging Station,22.582851,88.4760404,,"SECURITY ROOM, BISWA BANGLA CONVENTION CENTRE, DG Block(Newtown), Action Area I, Newtown, New Town",0101000020E6100000C9642772771E5640DF701FB935953640
Electric Vehicle Charging Station,22.6207356,88.4609663,,"Plot No. IID/13, Lexus Motors, 14, Major Arterial Road (North Extension), Tali Park, Action Area IID, Newtown, New Town",0101000020E6100000B8C3CB78801D564083763D87E89E3640
Electric Vehicle Charging Station,22.6567014,88.4054007,,"MC44+J4P, Alipore Rd E Ext, Rabindra Nagar, Alipore, Nimta, North Dumdum",0101000020E6100000A211C715F2195640C73C3C951DA83640
Adani Charging Station,22.6339042,88.4604071,,"Hotel ECHO Palace, Rajarhat Main Rd, Natunpara, Bablatala, Newtown",0101000020E61000002856574F771D56400BCCAF8B47A23640
Electric Vehicle Charging Station,22.5770866,88.4796232,,"HFGH+RVJ Tata Medical Center, DH Block(Newtown), Action Area I, Newtown, Kolkata, Chakpachuria",0101000020E6100000C9998125B21E5640B8F589F2BB933640
ThunderPlus Charging Station,22.68857,88.418861,,"MCQ9+CGH, Jogendra Nagar, Jugberia,Teghari, Kalyani Expy, Muragachha, Kolkata",0101000020E610000079245E9ECE1A5640B8019F1F46B03640
Delta Charging Station,22.5698417,88.5171045,,"Shapoorji Bus Terminus, Action Area III, Newtown, New Town",0101000020E61000005307793D18215640A5654925E1913640
Glida Charging Station,22.5779928,88.4864267,,"NH 58, Khatauli Bypass, Bhainsi Muzaffarnagar Muzzafarnagar - 251201 , IND, AA II, Newtown, Chakpachuria, Kolkata",0101000020E6100000AD19749D211F5640CF520D56F7933640
Hindustan Petroleum Corporation Limited Charging Station,22.726886,88.480041,,"PFGJ+Q23, Noapara, Kolkata",0101000020E61000004EEFE2FDB81E564096EB6D3315BA3640
Glida Charging Station,22.5830629,88.4485742,,"No. 30, 8, Major Arterial Road (South East Extension), AF Block(Newtown), Action Area I, Newtown, New Town, Kolkata",0101000020E610000014B58F70B51C5640CC02379C43953640
Electric Vehicle Charging Station,23.019165,88.5325252,,"2G9M+Q24, Narapati Para, Jatrapur",0101000020E6100000EF9293E414225640543A58FFE7043740
Electric Vehicle Charging Station,22.5821018,88.4628318,,"BUS TERMINAL, TERMINUS MALL, BG Block(Newtown), Action Area 1B, Newtown, New Town",0101000020E6100000202345099F1D564057F1A19F04953640
Ather Grid Charging Station,22.5796365,88.4756512,,"DG 12, Plot Number - 06/327, near Bhagirathi Neotia Woman And Child Care Centre, center, Kolkata",0101000020E61000006713BB11711E56406211C30E63943640
NKDA Charging Station,22.5969485,88.4649004,,"HFW7+QV6, Jatragachhi, Deshbandhu Nagar, Kolkata, New Town",0101000020E61000006E799BEDC01D564071E5EC9DD1983640
EVRE Charging Station,22.681955,88.467339,,"MFJ8+QWP, Kazi Nazrul Islam Sarani, Doltala, Jessore Rd, Doharia, Srijoni Housing, Madhyamgram, Kolkata",0101000020E61000004D49D6E1E81D5640FB57569A94AE3640
Electric Vehicle Charging Station,22.5842537,88.4908132,,"HFMR+P8 Awfis Ecospace Business Park, BLOCK-4B, AA II, Newtown, Chakpachuria",0101000020E61000007D9CC47B691F5640271186A691953640
Ather Charging Station,22.6606287,88.441863,,"17, Jessore Rd, Majumder Pada, Manikpur, Rajbari, Dum Dum, North Dumdum",0101000020E6100000FF93BF7B471C56408B4C65F61EA93640
