id,product,city,latitude,longitude,price,location
41486,Diesel,GARUBATHAN,26.9662,88.7001,92.53,0101000020E61000007FFB3A70CE2C56402C6519E258F73A40
41487,Petrol,KANDARAN,25.27574,87.998665,105.12,0101000020E61000003BAA9A20EAFF5540F4328AE596463940
41488,Diesel,KANDARAN,25.27574,87.998665,91.92,0101000020E61000003BAA9A20EAFF5540F4328AE596463940
41489,Petrol,DHARAMPUR,26.0936,88.0216,105.66,0101000020E6100000FE65F7E461015640D5E76A2BF6173A40
41490,Diesel,DHARAMPUR,26.0936,88.0216,92.42,0101000020E6100000FE65F7E461015640D5E76A2BF6173A40
41491,Petrol,SOUDALAPUR,24.960249,88.101189,104.79,0101000020E6100000C26D6DE1790656404704E3E0D2F53840
41492,Diesel,SOUDALAPUR,24.960249,88.101189,91.61,0101000020E6100000C26D6DE1790656404704E3E0D2F53840
41493,Petrol,KALIGANJ,23.71568204,88.23932189,106.31,0101000020E610000015B1C20C510F564073222CF036B73740
41494,Diesel,KALIGANJ,23.71568204,88.23932189,93.13,0101000020E610000015B1C20C510F564073222CF036B73740
41495,Petrol,BURDWAN,23.32243,87.72126,105.05,0101000020E61000006EFAB31F29EE5540D13FC1C58A523740
41496,Diesel,BURDWAN,23.32243,87.72126,91.85,0101000020E61000006EFAB31F29EE5540D13FC1C58A523740
41497,Petrol,DURGAPUR,23.61213,87.266621,104.88,0101000020E610000051DB865110D1554086E63A8DB49C3740
41498,Diesel,DURGAPUR,23.61213,87.266621,91.71,0101000020E610000051DB865110D1554086E63A8DB49C3740
41499,Petrol,BHADRESWAR,22.8334127762,88.3167045767,105.3,0101000020E6100000E2DA45E344145640FAD8298A5AD53640
41500,Diesel,BHADRESWAR,22.8334127762,88.3167045767,92.09,0101000020E6100000E2DA45E344145640FAD8298A5AD53640
41501,Petrol,CONTAI,21.85582,87.757309,104.91,0101000020E6100000DBFD2AC077F055404243FF0417DB3540
41502,Diesel,CONTAI,21.85582,87.757309,91.69,0101000020E6100000DBFD2AC077F055404243FF0417DB3540
41503,Petrol,BAGNAN,22.4090478613,87.9760066772,105.35,0101000020E61000001BD0B5E476FE554041C8525CB7683640
41504,Diesel,BAGNAN,22.4090478613,87.9760066772,92.13,0101000020E61000001BD0B5E476FE554041C8525CB7683640
41505,Petrol,HALDIA,22.101704,88.051491,104.31,0101000020E61000007442E8A04B03564055DFF945091A3640
41506,Diesel,HALDIA,22.101704,88.051491,91.13,0101000020E61000007442E8A04B03564055DFF945091A3640
41507,Petrol,COOCHBEHAR,26.362906,89.520198,106.15,0101000020E6100000745C8DEC4A615640AD855968E75C3A40
41508,Diesel,COOCHBEHAR,26.362906,89.520198,92.88,0101000020E6100000745C8DEC4A615640AD855968E75C3A40
41509,Petrol,PATASHPUR,21.979986,87.632607,105.05,0101000020E61000001F0E12A27CE85540B189CC5CE0FA3540
41510,Diesel,PATASHPUR,21.979986,87.632607,91.82,0101000020E61000001F0E12A27CE85540B189CC5CE0FA3540
41511,Petrol,FALAKATA,26.52735,89.14955,105.82,0101000020E61000007AC7293A92495640AC8BDB6800873A40
41512,Diesel,FALAKATA,26.52735,89.14955,92.57,0101000020E61000007AC7293A92495640AC8BDB6800873A40
41513,Petrol,MURSHIDABAD,24.1303,88.2504,106.04,0101000020E6100000C7BAB88D0610564036AB3E575B213840
41514,Diesel,MURSHIDABAD,24.1303,88.2504,92.78,0101000020E6100000C7BAB88D0610564036AB3E575B213840
41515,Petrol,MURSHIDABAD,24.777601,87.884117,105.04,0101000020E61000009C35785F95F855403F56F0DB10C73840
41516,Diesel,MURSHIDABAD,24.777601,87.884117,91.85,0101000020E61000009C35785F95F855403F56F0DB10C73840
41517,Petrol,BURDWAN,23.194067,88.012633,105.45,0101000020E61000006C76A4FACE0056409B3BFA5FAE313740
41518,Diesel,BURDWAN,23.194067,88.012633,92.24,0101000020E61000006C76A4FACE0056409B3BFA5FAE313740
41519,Petrol,FALTA,22.287288,88.212113,105.22,0101000020E61000009D836742930D56408388D4B48B493640
41520,Diesel,FALTA,22.287288,88.212113,92.01,0101000020E61000009D836742930D56408388D4B48B493640
41521,Petrol,PETLA,26.130468,89.423409,106.27,0101000020E610000041F50F22195B5640AE2CD15966213A40
41522,Diesel,PETLA,26.130468,89.423409,92.99,0101000020E610000041F50F22195B5640AE2CD15966213A40
41523,Petrol,CHARDHAMALI,25.801541,87.973422,105.65,0101000020E61000003ECDC98B4CFE554034677DCA31CD3940
41524,Diesel,CHARDHAMALI,25.801541,87.973422,92.41,0101000020E61000003ECDC98B4CFE554034677DCA31CD3940
41525,Petrol,HABRA,22.83662,88.69221,105.4,0101000020E6100000B5FD2B2B4D2C5640F52D73BA2CD63640
41526,Diesel,HABRA,22.83662,88.69221,92.19,0101000020E6100000B5FD2B2B4D2C5640F52D73BA2CD63640
41527,Petrol,BARGODAGODAR,22.210558,87.826759,104.68,0101000020E61000001DAB949EE9F4554042E90B21E7353640
41528,Diesel,BARGODAGODAR,22.210558,87.826759,91.48,0101000020E61000001DAB949EE9F4554042E90B21E7353640
41529,Petrol,Khagrabari,26.3433830376,89.4538742612,106.11,0101000020E61000006916A1460C5D56403E7E64F3E7573A40
41530,Diesel,Khagrabari,26.3433830376,89.4538742612,92.84,0101000020E61000006916A1460C5D56403E7E64F3E7573A40
41531,Petrol,MURSHIDABAD,23.8662,88.4667,106.31,0101000020E6100000C442AD69DE1D564092CB7F48BFDD3740
41532,Diesel,MURSHIDABAD,23.8662,88.4667,93.12,0101000020E6100000C442AD69DE1D564092CB7F48BFDD3740
41533,Petrol,AMBARI,26.639,88.501,104.75,0101000020E6100000F2D24D6210205640DD24068195A33A40
41534,Diesel,AMBARI,26.639,88.501,91.58,0101000020E6100000F2D24D6210205640DD24068195A33A40
41535,Petrol,LODHAN,26.076867,88.106375,105.77,0101000020E61000002B8716D9CE0656404224438EAD133A40
41536,Diesel,LODHAN,26.076867,88.106375,92.52,0101000020E61000002B8716D9CE0656404224438EAD133A40
